SHITOMASI+BRISK, 40, 34, 37, 31, 34, 31, 34, 35, 36
SHITOMASI+BRIEF, 40, 46, 39, 39, 39, 44, 39, 40, 40
SHITOMASI+ORB, 41, 40, 37, 34, 38, 39, 37, 38, 42
SHITOMASI+FREAK, 31, 27, 28, 24, 27, 27, 29, 30, 31
HARRIS+BRISK, 11, 9, 10, 11, 16, 14, 12, 21, 17
HARRIS+BRIEF, 12, 12, 14, 17, 17, 16, 12, 20, 21
HARRIS+ORB, 11, 11, 15, 17, 20, 18, 12, 21, 20
HARRIS+FREAK, 11, 9, 12, 14, 12, 18, 11, 16, 17
FAST+BRISK, 213, 212, 192, 210, 184, 199, 214, 207, 210
FAST+BRIEF, 232, 254, 242, 252, 230, 247, 260, 261, 240
FAST+ORB, 217, 236, 225, 223, 231, 233, 251, 233, 236
FAST+FREAK, 182, 189, 164, 176, 158, 179, 194, 173, 181
BRISK+BRISK, 127, 146, 128, 142, 113, 135, 155, 158, 139
BRISK+BRIEF, 142, 168, 130, 141, 149, 156, 159, 162, 150
BRISK+ORB, 131, 151, 134, 145, 142, 157, 154, 148, 151
BRISK+FREAK, 98, 116, 102, 106, 105, 110, 125, 125, 118
ORB+BRISK, 38, 37, 36, 43, 42, 52, 55, 61, 56
ORB+BRIEF, 38, 38, 39, 53, 42, 64, 58, 62, 59
ORB+ORB, 35, 39, 45, 46, 46, 56, 57, 65, 50
ORB+FREAK, 28, 34, 39, 31, 36, 34, 43, 46, 44
AKAZE+BRISK, 119, 110, 111, 110, 109, 115, 126, 137, 127
AKAZE+BRIEF, 109, 116, 110, 107, 117, 130, 135, 137, 132
AKAZE+ORB, 112, 111, 108, 105, 109, 125, 128, 133, 127
AKAZE+FREAK, 104, 96, 88, 90, 88, 106, 124, 121, 114
SIFT+BRISK, 59, 61, 58, 61, 52, 49, 50, 62, 65
SIFT+BRIEF, 65, 72, 64, 64, 52, 57, 72, 69, 85
SIFT+ORB, 68, 61, 61, 61, 54, 62, 61, 66, 72
SIFT+FREAK, 59, 62, 54, 62, 47, 50, 47, 55, 59
